targetId,comparatorId,outcomeId,outcomeName,type
4185,4186,434165,Abnormal cervical smear,outcome
4185,4186,436409,Abnormal pupil,outcome
4185,4186,199192,Abrasion and/or friction burn of trunk without infection,outcome
4185,4186,4088290,Absence of breast,outcome
4185,4186,4092879,Absent kidney,outcome
4185,4186,436634,Acariasis,outcome
4185,4186,44783954,Acid reflux,outcome
4185,4186,75911,Acquired hallux valgus,outcome
4185,4186,137951,Acquired keratoderma,outcome
4185,4186,77965,Acquired trigger finger,outcome
4185,4186,376707,Acute conjunctivitis,outcome
4185,4186,4103640,Amputated foot,outcome
4185,4186,432595,Amyloidosis,outcome
4185,4186,73241,Anal and rectal polyp,outcome
4185,4186,437082,Ankylosing spondylitis,outcome
4185,4186,77650,Aseptic necrosis of bone,outcome
4185,4186,378424,Astigmatism,outcome
4185,4186,374923,Bell's palsy,outcome
4185,4186,4110709,Benign epithelial neoplasm of skin,outcome
4185,4186,133655,Burn of forearm,outcome
4185,4186,73560,Calcaneal spur,outcome
4185,4186,434327,Cannabis abuse,outcome
4185,4186,4213540,Cervical somatic dysfunction,outcome
4185,4186,381581,Chalazion,outcome
4185,4186,140842,Changes in skin texture,outcome
4185,4186,438531,Chondromalacia,outcome
4185,4186,81378,Chondromalacia of patella,outcome
4185,4186,432303,Cocaine abuse,outcome
4185,4186,4201390,Colostomy present,outcome
4185,4186,46269889,Complication due to Crohn's disease,outcome
4185,4186,134438,Contact dermatitis,outcome
4185,4186,78619,Contusion of knee,outcome
4185,4186,201606,Crohn's disease,outcome
4185,4186,260134,Croup,outcome
4185,4186,76786,Derangement of knee,outcome
4185,4186,4115402,Difficulty sleeping,outcome
4185,4186,443767,Disorder of eye due to diabetes mellitus,outcome
4185,4186,45757370,Disproportion of reconstructed breast,outcome
4185,4186,433111,Effects of hunger,outcome
4185,4186,441589,Endocarditis,outcome
4185,4186,200775,Endometrial hyperplasia,outcome
4185,4186,433527,Endometriosis,outcome
4185,4186,73008,Enthesopathy,outcome
4185,4186,4249170,Epicondylitis,outcome
4185,4186,4170770,Epidermoid cyst,outcome
4185,4186,4345472,Epstein-Barr virus disease,outcome
4185,4186,4092896,Feces contents abnormal,outcome
4185,4186,259995,Foreign body in orifice,outcome
4185,4186,4050747,Fracture of upper limb,outcome
4185,4186,196456,Gallstone,outcome
4185,4186,40481632,Ganglion cyst,outcome
4185,4186,4166231,Genetic predisposition,outcome
4185,4186,74855,Genital herpes simplex,outcome
4185,4186,433577,Hammer toe,outcome
4185,4186,441818,Hemangioma,outcome
4185,4186,4231770,Hereditary thrombophilia,outcome
4185,4186,440329,Herpes zoster without complication,outcome
4185,4186,4012570,High risk sexual behavior,outcome
4185,4186,4038835,Hodgkin's disease,outcome
4185,4186,4012934,Homocystinuria,outcome
4185,4186,441788,Human papilloma virus infection,outcome
4185,4186,380688,Hypoglycemic coma,outcome
4185,4186,4254542,Hypopituitarism,outcome
4185,4186,4201717,Ileostomy present,outcome
4185,4186,374375,Impacted cerumen,outcome
4185,4186,140480,Impetigo,outcome
4185,4186,4344500,Impingement syndrome of shoulder region,outcome
